1,2231510
2,2063267
3,2246469
4,2244591
5,3232884
6,2058950
7,3214250
8,2104453
9,3217705
10,2077568
11,2380458
12,2147881
13,2094196
14,2083820
15,2079436
16,2062168
17,2084142
18,2091116
19,2075081
20,2231510
21,2063267
22,2246469
23,2244591
24,3232884
25,2058950
26,3214250
27,2104453
28,3217705
29,2077568
30,2380458
31,2147881
32,2094196
33,2083820
34,2079436
35,2062168
36,2084142
37,2091116
38,2075081
39,2231510
40,2063267
41,2246469
42,2244591
43,3232884
44,2058950
45,3214250
46,2104453
47,3217705
48,2077568
49,2380458
50,2147881
51,2094196
52,2083820
53,2079436
54,2062168
55,2084142
56,2091116
57,2075081
58,2069711
59,2078977
60,2153362
61,2082117
62,2081931
63,2079306
64,2080919
65,2092544
66,2121422
67,2074822
68,2072685
69,2080219
70,2070503
71,2074205
72,2070104
73,2078571
74,2074737
75,2083184
76,2080132
77,2082322
78,2070422
79,2079348
80,2082679
81,2082389
82,2072488
83,2120666
84,2074070
85,2093690
86,2071671
87,2068976
88,2070515
89,2120724
90,2077090
91,2068248
92,2070055
93,2078331
94,2080628
95,2072045
96,2068258
97,2073819
98,2074122
99,2076038
100,2068317
101,2065346
102,2070967
103,2071530
104,2072574
105,2119830
106,2079394
107,2071429
108,2072730
109,2071281
110,2078975
111,2121040
112,2076519
113,2093171
114,2074210
115,2074942
116,2061442
117,2076149
118,2067639
119,2071985
120,2077888
121,2064513
122,2069551
123,2071700
124,2075899
125,2119727
126,2086517
127,2082113
128,2078783
129,2070925
130,2071188
131,2068490
132,2380448
133,2076411
134,2063028
135,2099327
136,2059747
137,2120673
138,2067203
139,2208331
140,2075523
141,2139327
142,2075726
143,2121117
144,2131474
145,2088700
146,2062263
147,2084913
148,2061645
149,2082371
150,3228755
151,2380185
152,2061655
153,2066163
154,2074572
155,2099327
156,2059747
157,2120673
158,2067203
159,2208331
160,2075523
161,2139327
162,2075726
163,2121117
164,2131474
165,2088700
166,2062263
167,2084913
168,2061645
169,2082371
170,3228755
171,2380185
172,2061655
173,2066163
174,2074572
175,2071201
176,2071382
177,2088843
178,2076607
179,2087645
180,2085147
181,2080539
182,2070414
183,2086466
184,2120638
185,2075006
186,2069815
187,2083647
188,2080477
189,2090843
190,2093913
191,2085831
192,2092128
